perfmode,transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
Spectre,5737.82,226,32,441.8,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1808.03,244,30,384.5,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1067.23,142,26,363.4,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,4330.91,245,30,641,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,1434.95,139,25,369.9,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,401.514,137,21,349.2,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,242.792,68.2,19,324.7,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1685.81,249,32,633.7,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,806.773,76.4,32,668,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,3333.84,99,32,416,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,1370.51,102,25,337.7,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,766.526,139,26,356.3,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4474.11,235,32,743.6,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,2602.46,221,32,611.1,103,202,Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,4633.61,632,35,1216.2,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1931.92,634,31,618.9,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1367.63,636,31,989.6,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,8789.2,642,36,2432,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,6100.15,643,24,1186.2,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,1140.26,621,12,721.5,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,446.127,540,32,593.1,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,264.991,242,33,337.9,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,2038.68,648,36,1496.6,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,1060.95,267,16,1093.2,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,2635.36,632,33,771.3,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,1355.01,547,35,1892.6,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,825.912,546,11,238.8,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,5006.5,644,36,1718.9,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,3416.69,645,36,1835.3,103,202,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,2928.53,523,36,1285.3,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1405.1,639,3,201.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,984.954,589,3,202.9,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,13786.1,479,3,108.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,5588.9,477,29,2003.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,3869.58,480,3,103.3,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,727.796,536,1,101.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,325.408,527,25,277.7,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,189.343,230,3,202.7,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,3412.17,479,2,112.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1383.17,479,3,103.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,766.885,235,2,104.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,1713.15,525,25,1269.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,983.32,524,3,202.9,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,599.757,558,3,202.9,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,8091.81,476,2,111.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,3962.33,481,4,104.4,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,2406.09,487,6,117.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,710.078,537,14,1381.6,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1711.69,542,14,1378.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,185.194,249,14,1039.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,3443.77,478,6,202.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1441.19,483,37,2515.3,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,783.621,232,30,2517.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,2879.2,634,14,1031.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,7554.86,636,14,1365.3,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,968.225,626,10,905.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,13784,478,6,177.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,5431.19,484,7,211.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,4011.98,482,35,2385.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,1685.92,633,14,1004,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4354.36,639,14,1381.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,586.101,630,14,1370,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,8230.11,477,6,198,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4103.42,482,38,2525.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,2449.46,488,38,2555.3,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,3456.29,475,14,337.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1380.18,479,6,275.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,764.674,236,6,309.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,8074.44,473,14,296.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4010.89,482,7,310.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,2358.64,479,26,222.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,13816.2,475,14,218.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,5485.46,475,6,282.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,3868.05,480,24,176.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,3532.52,456,40,1781,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1399.19,468,15,272.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,768.822,226,1,109.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,8245.61,476,40,1797.8,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,3991.1,481,8,231.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,14041.7,474,40,1704.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,5471.36,481,6,205.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,3989.95,475,40,1809.4,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,3515.61,472,40,1797.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1430.31,465,20,888,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,781.534,225,22,353.9,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,8614.47,478,31,1395.1,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4067.46,481,33,2062.3,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,14504.1,472,34,1509.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,5561.74,481,29,1549.2,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,3919.06,481,33,2080.3,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,4813.7,479,8,418,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1789.83,463,14,423,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,900.988,234,6,416.6,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,10211.7,472,6,358.1,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,5263.72,488,6,411.5,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,2936.1,480,6,409.4,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,13710.7,473,6,132.5,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,6935.04,481,6,387.1,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,4712.5,482,6,407.7,503,1002,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,5163.07,474,6,483.4,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,1978.24,483,16,523.2,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,975.596,220,11,527.3,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,9240.35,474,6,284.9,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,4467.32,479,6,301,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,3016.51,482,6,487.6,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
